一级,二级,三级,标签,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,重度涉政敏感,A,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,历史虚无主义,A,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,领土主权错误,A,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,极端民族民粹主义,A,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,涉政不当关联,B,,,,,,,,,,,,,,,,
涉及时政,涉政敏感,公职群体负面,B,,,,,,,,,,,,,,,,
涉及时政,不当关联显示,娱乐化名人,C,,,,,,,,,,,,,,,,
涉及时政,不当关联显示,蹭社会热点舆情,B,,,,,,,,,,,,,,,,
涉及时政,不当关联显示,不当关联知名企业及我司产品,B,,,,,,,,,,,,,,,,
涉及时政,不当关联显示,公众人物负面,B,,,,,,,,,,,,,,,,
涉及时政,不当关联显示,娱乐化名人,C,,,,,,,,,,,,,,,,
色情/低俗,性核心情节,性行为相关,B,,,,,,,,,,,,,,,,
色情/低俗,色情遐想,性遐想,C,,,,,,,,,,,,,,,,
画风观感不适,血腥暴力,极端血腥引人不适,B,,,,,,,,,,,,,,,,
画风观感不适,血腥暴力,身体伤害类引人不适,C,,,,,,,,,,,,,,,,
画风观感不适,恶心内容,恶心行为细节展示,B,,,,,,,,,,,,,,,,
画风观感不适,恶心内容,恶心行为描述/快照,C,,,,,,,,,,,,,,,,
画风观感不适,特殊观感内容,无底线猎奇,B,,,,,,,,,,,,,,,,
超自然迷信,迷信糟粕,灵异惊悚,B,,,,,,,,,,,,,,,,
画风观感不适,特殊观感内容,恐怖/灵异惊悚画风,C,,,,,,,,,,,,,,,,
不良价值观,名著负面,曲解篡改恶搞名著,B,,,,,,,,,,,,,,,,
不良价值观,侮辱他人,非人化亵渎性羞辱,B,,,,,,,,,,,,,,,,
不良价值观,侮辱他人,人格侮辱,C,,,,,,,,,,,,,,,,
不良价值观,侮辱他人,显著脏话,B,,,,,,,,,,,,,,,,
不良价值观,侮辱他人,持续性言语羞辱他人,C,,,,,,,,,,,,,,,,
不良价值观,放大社会阴暗,群体性妖魔化,B,,,,,,,,,,,,,,,,
不良价值观,放大社会阴暗,极端暴力冲突,B,,,,,,,,,,,,,,,,
不良价值观,放大社会阴暗,违背家庭人伦,C,,,,,,,,,,,,,,,,
不良价值观,错误伦理观,宣扬封建阶级/文化,C,,,,,,,,,,,,,,,,
不良价值观,错误伦理观,封建婚恋观,B,,,,,,,,,,,,,,,,
不良价值观,错误伦理观,婚恋对象违背伦理,B,,,,,,,,,,,,,,,,
不良价值观,错误伦理观,宣扬出轨、偷情,B,,,,,,,,,,,,,,,,
不良价值观,错误伦理观,不良婚恋,C,,,,,,,,,,,,,,,,
不良价值观,错误金钱观,不择手段获取财富,B,,,,,,,,,,,,,,,,
不良价值观,错误金钱观,放大贫富阶级矛盾、对立,B,,,,,,,,,,,,,,,,
不良价值观,错误金钱观,夸大财富金钱作用,C,,,,,,,,,,,,,,,,
不良价值观,错误金钱观,财富设定夸张,C,,,,,,,,,,,,,,,,
不良价值观,宣扬暴力仇恨,极端性复仇,B,,,,,,,,,,,,,,,,
不良价值观,宣扬暴力仇恨,过于冷漠报复,C,,,,,,,,,,,,,,,,
不良价值观,宣扬暴力仇恨,宣扬教唆犯罪,B,,,,,,,,,,,,,,,,
不良价值观,宣扬暴力仇恨,过于冷漠报复,C,,,,,,,,,,,,,,,,
超自然迷信,迷信糟粕,邪祟文化,B,,,,,,,,,,,,,,,,
超自然迷信,法术玄学,现代 法术逆天改命,B,,,,,,,,,,,,,,,,
超自然迷信,法术玄学,现代 玄幻荒诞离奇,C,,,,,,,,,,,,,,,,
超自然迷信,法术玄学,法术作恶,B,,,,,,,,,,,,,,,,
特殊人群,未成年负面,未成年错误行为,B,,,,,,,,,,,,,,,,
特殊人群,未成年负面,欺凌未成年,B,,,,,,,,,,,,,,,,
特殊人群,未成年负面,肢体、言语辱骂未成年,C,,,,,,,,,,,,,,,,
特殊人群,宗教人士,宗教负面,A,,,,,,,,,,,,,,,,
特殊人群,宗教人士,宗教人士不当演绎,B,,,,,,,,,,,,,,,,
